ideal_exp,f1_depth,f2_H_count,f3_noisy_exp,f4_CZ_count,f5_X_count,f6_1Q_count,f7_2Q_count,f8_width
0.9999999999999991,7,6,0.0009775171065493637,2,4,10,2,2
-1.0,4,0,0.0,1,5,5,1,2
0.0,9,3,0.025390625,3,4,7,3,2
0.9999999999999991,7,6,0.7634408602150538,2,4,10,2,2
0.999999999999998,14,12,0.302734375,4,8,20,4,2
-0.9999999999999996,9,2,-0.9648093841642229,2,7,9,2,2
-0.9999999999999993,7,4,-0.7109375,1,5,9,1,2
0.9999999999999991,7,6,0.7521951219512195,2,4,10,2,2
-0.9999999999999992,5,5,-1.0,1,1,6,1,2
0.9999999999999991,7,6,0.76171875,2,4,10,2,2
0.0,4,1,-0.001953125,1,2,3,1,2
0.0,6,1,-0.00390625,0,6,7,0,2
0.0,2,2,0.10546875,0,2,4,0,2
1.6653345369377348e-16,8,5,0.504390243902439,1,5,10,1,2
0.9999999999999991,9,6,0.47265625,2,8,14,2,2
-0.9999999999999993,7,4,-0.931640625,2,1,5,2,2
0.0,7,3,0.01953125,1,4,7,1,2
0.0,3,5,0.00390625,0,0,5,0,2
-0.9999999999999993,4,4,-0.658203125,0,3,7,0,2
0.0,4,3,0.0078125,2,0,3,2,2
0.0,4,1,0.022439024390243922,1,4,5,1,2
0.999999999999998,14,12,0.38025415444770283,4,8,20,4,2
0.9999999999999991,8,4,1.0,1,5,9,1,2
0.9999999999999991,7,6,0.7424390243902439,2,4,10,2,2
0.0,7,4,0.02734375,2,3,7,2,2
0.0,7,5,-0.01171875,1,5,10,1,2
0.0,2,2,-0.009765625,0,1,3,0,2
0.0,2,2,-0.06353861192570864,0,2,4,0,2
0.9999999999999991,9,6,0.39453125,2,8,14,2,2
0.0,7,4,-0.029296875,1,3,7,1,2
0.0,3,1,0.0,1,2,3,1,2
0.9999999999999991,7,6,0.0,2,4,10,2,2
0.9999999999999991,7,6,-0.0009775171065493646,2,4,10,2,2
0.0,3,1,0.009765625,1,2,3,1,2
-1.6653345369377348e-16,7,3,-0.025390625,1,7,10,1,2
0.0,7,3,-0.005859375,2,4,7,2,2
0.9999999999999991,7,6,0.7536656891495601,2,4,10,2,2
0.9999999999999991,7,6,-0.002926829268292682,2,4,10,2,2
0.9999999999999996,7,2,0.95703125,2,4,6,2,2
0.0,10,4,-0.0078125,4,3,7,4,2
0.9999999999999987,9,8,0.92578125,2,6,14,2,2
-1.0,4,0,-0.955078125,1,5,5,1,2
0.0,9,5,-0.013671875,2,3,8,2,2
0.0,4,1,-0.01953125,2,1,2,2,2
-0.9999999999999993,6,4,-0.6344086021505376,2,3,7,2,2
0.0,8,5,-0.3678048780487805,3,1,6,3,2
0.0,7,3,0.008780487804878036,2,5,8,2,2
0.0,7,6,0.056640625,1,3,9,1,2
0.9999999999999987,9,8,0.6285434995112413,2,6,14,2,2
0.0,3,3,0.0078125,0,1,4,0,2
0.0,5,3,-0.006842619745845564,1,3,6,1,2
0.9999999999999992,5,5,0.98046875,1,2,7,1,2
0.0,6,6,-0.015625,0,3,9,0,2
0.0,5,5,-0.017578125,0,5,10,0,2
0.0,6,7,-0.01171875,0,2,9,0,2
0.0,3,3,-0.08292682926829276,1,0,3,1,2
0.999999999999998,14,12,0.46146341463414625,4,8,20,4,2
0.0,8,2,0.087890625,3,4,6,3,2
0.0,2,1,0.03515625,0,2,3,0,2
0.999999999999998,14,12,0.421875,4,8,20,4,2
0.0,8,2,-0.02734375,4,4,6,4,2
-1.6653345369377348e-16,6,3,-0.01171875,2,1,4,2,2
0.9999999999999991,7,6,0.951171875,3,0,6,3,2
0.0,6,3,0.017578125,2,3,6,2,2
0.999999999999998,14,12,0.388671875,4,8,20,4,2
0.0,4,2,-0.1328125,1,2,4,1,2
0.0,7,3,-0.470703125,2,5,8,2,2
0.9999999999999996,3,2,0.955078125,1,0,2,1,2
0.0,9,2,0.00390625,5,3,5,5,2
0.9999999999999987,9,8,0.890625,2,6,14,2,2
0.0,3,2,0.029296875,1,1,3,1,2
0.0,3,2,-0.01658536585365855,0,2,4,0,2
0.0,6,5,-0.333984375,1,3,8,1,2
